설립구분,학교명,도로명주소,설립일자
공립,서울신구초등학교,서울특별시 강남구 압구정로18길 28,19811103
공립,서울신기초등학교,서울특별시 양천구 신정로 292,20000502
공립,서울신길초등학교,서울특별시 동작구 알마타길 16,19640312
공립,서울신남성초등학교,서울특별시 동작구 사당로 146,19750311
공립,서울신남초등학교,서울특별시 양천구 남부순환로83길,19831024
공립,서울신내초등학교,서울특별시 중랑구 용마산로125나길 22,19940105
공립,서울신답초등학교,서울특별시 동대문구 천호대로 177,19710901
공립,서울신당초등학교,서울특별시 중구 난계로 141,20070214
공립,서울신대림초등학교,서울특별시 영등포구 대림로8길 25,19950110
공립,서울신도림초등학교,서울특별시 구로구 신도림로19길 44,19821022
공립,서울신도초등학교,서울특별시 은평구 진관1로 77-23,19281201
공립,서울신동초등학교,서울특별시 서초구 나루터로 15,19460402
공립,서울신림초등학교,서울특별시 관악구 문성로28길 31,19700525
공립,서울신명초등학교,서울특별시 강동구 명일로24길 33,19820504
공립,서울신목초등학교,서울특별시 양천구 신목로5길 11-6,19820408
공립,서울신묵초등학교,서울특별시 중랑구 동일로149길 46,19841205
공립,서울신미림초등학교,서울특별시 구로구 신도림로 26,20020301
공립,서울신방학초등학교,서울특별시 도봉구 시루봉로 173,19860424
공립,서울신봉초등학교,서울특별시 관악구 양녕로6나길 1,19810713
공립,서울신북초등학교,서울특별시 마포구 월드컵북로38길 26,19821101
공립,서울신사초등학교,서울특별시 은평구 가좌로 275-2,19801024
공립,서울신상계초등학교,서울특별시 노원구 상계로 267,19700522
공립,서울신상도초등학교,서울특별시 동작구 장승배기로 14,19810909
공립,서울신서초등학교,서울특별시 양천구 목동서로10길 35,19871022
공립,서울신석초등학교,서울특별시 마포구 대흥로 33,19640310
공립,서울신성초등학교,서울특별시 관악구 신림로 114,19820707
공립,서울신암초등학교,서울특별시 강동구 올림픽로93길 33-16,19801025
공립,서울신양초등학교,서울특별시 광진구 능동로 42,19790411
공립,서울신영초등학교,서울특별시 영등포구 도신로4길 32,19820707
공립,서울신용산초등학교,서울특별시 용산구 이촌로 255,19680925
공립,서울신우초등학교,서울특별시 관악구 호암로 498,19770901
공립,서울신원초등학교,서울특별시 양천구 남부순환로58길 32,19811012
공립,서울신월초등학교,서울특별시 강서구 강서로31길 48,19750311
공립,서울신은초등학교,서울특별시 양천구 신정이펜2로 30,20110901
공립,서울신자초등학교,서울특별시 광진구 뚝섬로46길 64,19821207
공립,서울신정초등학교,서울특별시 강서구 곰달래로31가길 27,19491001
공립,서울신중초등학교,서울특별시 서초구 남부순환로317길 15,19360601
공립,서울신창초등학교,서울특별시 도봉구 덕릉로60길 93,19710105
공립,서울신천초등학교,서울특별시 송파구 올림픽로 215,19590526
공립,서울신학초등학교,서울특별시 도봉구 방학로 247-21,19880109
공립,서울신현초등학교,서울특별시 중랑구 봉화산로 188,19950105
